Z,Symbol,Name,Density (kg/L),USD/kg,USD/L
1,H,Hydrogen,0.00008988,1.39,0.000125
2,He,Helium,0.0001785,24,0.00429
3,Li,Lithium,0.534,81.4,43.4
4,Be,Beryllium,1.85,857,1590
5,B,Boron,2.34,3.68,8.62
6,C,Carbon,2.267,0.122,0.28
7,N,Nitrogen,0.0012506,0.14,0.000175
8,O,Oxygen,0.001429,0.154,0.00022
9,F,Fluorine,0.001696,1.84,0.00311
10,Ne,Neon,0.0008999,240,0.21
11,Na,Sodium,0.971,2.57,2.49
12,Mg,Magnesium,1.738,2.32,4.03
13,Al,Aluminium,2.698,1.79,4.84
14,Si,Silicon,2.3296,1.7,3.97
15,P,Phosphorus,1.82,2.69,4.9
16,S,Sulfur,2.067,0.0926,0.191
17,Cl,Chlorine,0.003214,0.082,0.00026
18,Ar,Argon,0.0017837,0.931,0.00166
19,K,Potassium,0.862,12.1,10.5
20,Ca,Calcium,1.54,2.21,3.41
21,Sc,Scandium,2.989,3460,10300
22,Ti,Titanium,4.54,11.1,50.5
23,V,Vanadium,6.11,357,2180
24,Cr,Chromium,7.15,9.4,67.2
25,Mn,Manganese,7.44,1.82,13.6
26,Fe,Iron,7.874,0.424,3.34
27,Co,Cobalt,8.86,32.8,291
28,Ni,Nickel,8.912,13.9,124
29,Cu,Copper,8.96,6,53.8
30,Zn,Zinc,7.134,2.55,18.2
31,Ga,Gallium,5.907,148,872
32,Ge,Germanium,5.323,914,4860
33,As,Arsenic,5.776,0.999,5.77
34,Se,Selenium,4.809,21.4,103
35,Br,Bromine,3.122,4.39,13.7
36,Kr,Krypton,0.003733,290,1.1
37,Rb,Rubidium,1.532,15500,23700
38,Sr,Strontium,2.64,6.53,17.2
39,Y,Yttrium,4.469,31,139
40,Zr,Zirconium,6.506,35.7,232
41,Nb,Niobium,8.57,61.4,526
42,Mo,Molybdenum,10.22,40.1,410
43,Tc,Technetium,11.5,100000,1200000
43,Tc,Technetium-99m,11.5,0,0
44,Ru,Ruthenium,12.37,10400,129000
45,Rh,Rhodium,12.41,147000,1820000
46,Pd,Palladium,12.02,49500,595000
47,Ag,Silver,10.501,521,5470
48,Cd,Cadmium,8.69,2.73,23.8
49,In,Indium,7.31,167,1220
50,Sn,Tin,7.287,18.7,136
51,Sb,Antimony,6.685,5.79,38.7
52,Te,Tellurium,6.232,63.5,396
53,I,Iodine,4.93,35,173
54,Xe,Xenon,0.005887,1800,11
55,Cs,Caesium,1.873,61800,116000
56,Ba,Barium,3.594,0.246,0.886
57,La,Lanthanum,6.145,4.78,29.4
58,Ce,Cerium,6.77,4.57,30.9
59,Pr,Praseodymium,6.773,103,695
60,Nd,Neodymium,7.007,57.5,403
61,Pm,Promethium-147,7.26,460000,3400000
62,Sm,Samarium,7.52,13.9,104
63,Eu,Europium,5.243,31.4,165
64,Gd,Gadolinium,7.895,28.6,226
65,Tb,Terbium,8.229,658,5410
66,Dy,Dysprosium,8.55,307,2630
67,Ho,Holmium,8.795,57.1,503
68,Er,Erbium,9.066,26.4,240
69,Tm,Thulium,9.321,3000,28000
70,Yb,Ytterbium,6.965,17.1,119
71,Lu,Lutetium,9.84,643,6330
72,Hf,Hafnium,13.31,900,12000
73,Ta,Tantalum,16.654,298,4960
74,W,Tungsten,19.25,35.3,679
75,Re,Rhenium,21.02,3010,63300
76,Os,Osmium,22.61,12000,280000
77,Ir,Iridium,22.56,55500,1250000
78,Pt,Platinum,21.46,27800,596000
79,Au,Gold,19.282,44800,863000
80,Hg,Mercury,13.5336,30.2,409
81,Tl,Thallium,11.85,4200,49800
82,Pb,Lead,11.342,2,22.6
83,Bi,Bismuth,9.807,6.36,62.4
84,Po,Polonium-209,9.32,0,0
85,At,Astatine,7,0,0
86,Rn,Radon,0.00973,0,0
87,Fr,Francium,1.87,0,0
88,Ra,Radium,5.5,0,0
89,Ac,Actinium-225,10.07,0,0
90,Th,Thorium,11.72,287,3360
91,Pa,Protactinium,15.37,0,0
92,U,Uranium,18.95,101,1910
93,Np,Neptunium,20.45,660000,13500000
94,Pu,Plutonium-239,19.84,6490000,129000000
95,Am,Americium-241,13.69,728000,9970000
95,Am,Americium-243,13.69,750000,10300000
96,Cm,Curium-244,13.51,185000000,0
96,Cm,Curium-248,13.51,0,0
97,Bk,Berkelium-249,14.79,0,0
98,Cf,Californium-249,15.1,0,0
98,Cf,Californium-252,15.1,0,0
99,Es,Einsteinium,8.84,0,0
100,Fm,Fermium,-9.7,0,0
101,Md,Mendelevium,-10.3,0,0
102,No,Nobelium,-9.9,0,0
103,Lr,Lawrencium,-15.6,0,0
104,Rf,Rutherfordium,-23.2,0,0
105,Db,Dubnium,-29.3,0,0
106,Sg,Seaborgium,-35,0,0
107,Bh,Bohrium,-37.1,0,0
108,Hs,Hassium,-40.7,0,0
109,Mt,Meitnerium,-37.4,0,0
110,Ds,Darmstadtium,-34.8,0,0
111,Rg,Roentgenium,-28.7,0,0
112,Cn,Copernicium,-14,0,0
113,Nh,Nihonium,-16,0,0
114,Fl,Flerovium,-9.928,0,0
115,Mc,Moscovium,-13.5,0,0
116,Lv,Livermorium,-12.9,0,0
117,Ts,Tennessine,-7.2,0,0
118,Og,Oganesson,-7,0,0
